fiidex,fi_cycle,fi_bit,opcode,error_type
408,1164088216,38,fadd,benign
2555,362615087,8,load,benign
3698,741653165,14,load,benign
4302,1170448973,0,icmp,SDC
3617,907025788,63,sext,benign
4872,1292502214,0,icmp,SDC
2797,1277275414,15,add,SDC
3828,1124600651,56,fadd,SDC
1032,1836691211,8,load,benign
1476,291940820,53,load,benign
591,246638698,53,fsub,benign
2313,284971180,79,fmul,benign
2421,1207394171,17,load,benign
403,1104535087,15,fsub,benign
659,1449148556,43,fadd,SDC
3338,69580279,20,extractelement,benign
3469,416476499,28,load,benign
2141,990434276,96,shufflevector,benign
3919,1917667000,62,fadd,benign
946,894292020,17,sext,SDC
2344,118348037,38,load,benign
4868,1445340675,37,load,benign
4496,1149497045,1,fdiv,benign
4473,1229794758,0,fcmp,SDC
594,788244202,24,fsub,benign
3093,1748110821,58,fmul,benign
637,1272631006,5,fneg,benign
1277,1300660539,31,load,benign
667,2025526523,2,load,benign
2198,68827627,9,insertelement,benign
1212,277165218,17,load,benign
3480,1582944248,49,load,benign
2455,1592685598,36,load,benign
2523,1464718511,48,fadd,SDC
3089,203845754,49,fmul,benign
2227,874434235,20,insertelement,benign
843,170141423,39,load,benign
4739,1247176214,24,load,SDC
423,855420257,56,load,benign
3891,2069129643,40,fneg,benign
452,1170747111,1,fadd,benign
2462,48041582,31,load,benign
2943,1089397600,53,insertelement,SDC
616,1237099342,17,fmul,benign
3643,2000170325,30,load,SDC
2153,941120226,43,shufflevector,benign
4105,974076956,57,fmul,benign
483,1041366424,30,extractelement,benign
580,610625838,36,fneg,benign
3454,112186804,31,load,SDC
3820,537001628,51,fadd,benign
5149,32087460,16,select,benign
1054,1435995226,58,load,SDC
1449,231561914,16,load,benign
1494,1778500473,3,load,benign
3076,1817126188,42,fsub,benign
967,1580729915,6,load,SDC
1233,326555881,11,load,benign
2153,1981425497,1,shufflevector,benign
632,1528857471,37,fmul,SDC
984,700599666,41,load,benign
1673,947785511,59,load,benign
3079,698828462,0,fsub,benign
4836,1659626126,0,fcmp,SDC
2507,814071387,41,load,SDC
3492,137421559,0,icmp,benign
3882,1131715741,4,fadd,benign
2946,737195791,21,insertelement,benign
5117,1459351020,15,load,benign
614,308498973,11,fsub,benign
665,1052290187,26,fadd,benign
3011,215117362,42,fneg,benign
1133,1998255074,29,fneg,benign
3472,1834155322,3,add,SDC
753,792224592,39,load,SDC
380,191667924,52,load,benign
2242,1954334233,47,insertelement,SDC
2097,905792503,53,load,benign
3093,1050555604,43,fmul,benign
1126,1168374681,27,fneg,benign
1110,128426089,3,fadd,benign
1008,1241659273,29,load,benign
4225,812522473,39,phi,SDC
3461,747863520,8,load,benign
4271,1254243144,117,load,SDC
453,981861793,41,fsub,benign
537,1289925450,11,extractelement,benign
423,899137571,61,load,benign
650,2028431998,0,fadd,benign
1159,1276152306,3,fmul,benign
